순번,연구개발사업한글명,연구개발사업시작일자,연구개발사업종료일자,연구개발사업구분코드,과제단계코드,주관기관명,발주기관명,연구개발사업한글키워드값,연구개발사업영문키워드값,연구개발사업개요내용,연구개발사업영문명,연구개발사업관리기관명
243,총류탄 기반 침투형 Smart Grenade Robot 개발,2011-12-20,2013-10-10,민군겸용기술개발,시험개발,(주)한화,국방과학연구소,총류탄;로봇,rifle grenade;robot,ㅇ 해석/설계/제작   - SG로봇 소형/고출력 구동장치 설계   - SG로봇 내충격 구조 설계   - SG로봇 소형/경량화 설계   - SG로봇 구조 해석   - 총류탄 탄환충격흡수 및 운동에너지 전달 기술   - 총류탄 추진기관 그레인 설계 및 내탄도 해석   - 총류탄 추진기관 노즐 형상 설계   - 총류탄 추진기관 구조 해석   - 총류탄 공력형상 해석 및 설계   - 총류탄 보호체 충격흡수 해석/설계   - 총류탄 보호체 전개 메커니즘 설계   - 소폭발장치 파편형 탄두 위력 해석/설계   - 이중안전장전장치 설계ㅇ 시험/평가   - 시험절차 및 기법 개발   - 시험장비 개발 및 운용   - 시험 Data 분석기술   - 시험결과 해석기술,Development of Rifle Grenade Launched Smart Grenade Robot,국방과학연구소
244,열변형 거동해석을 통한 야간 감시광학계용 칼코게나이드 비구면 렌즈 개발,2010-01-01,2012-12-31,민군겸용기술개발,시험개발,한국광기술원,국방과학연구소,칼코게나이드 비구면 렌즈;칼고게나이드 glass;야간,Chalcogenide-Aspheric Lens;chalcogenide glasses;night version,ㅇ 칼코게나이드계 Glass 광학요소별 광학Ass'y 및 렌즈 설계ㅇ 칼코게나이드계 Glass 소재 및 성형용 코어 소재 특성연구ㅇ 성형용 초정밀 코어가공기술개발ㅇ 칼코게나이드계 Glass 소재 성형용 코어 가공면 코팅기술 개발ㅇ 칼코게나이드계 Glass 렌즈 열변형 거동 해석ㅇ 성형렌즈 무반사 코팅기술 개발ㅇ 성형기술 활용 칼코게나이드계 비구면 Glass 렌즈 시제품 개발ㅇ 개발 시제품을 활용한 열상조준경 시제품 제작 및 성능 평가ㅇ 적외선 광학렌즈용 칼코게나이드 유리소재 기초 시험합성,Development of Molded Chalcogenide-Aspheric Lens for Night Vision Considering Thermal Deformation Behavior,국방과학연구소
245,리빙 음이온 중합을 이용한 특수기능 맞춤형 고분자 설계 및 합성,2009-06-01,2012-06-29,민군겸용기술개발,시험개발,주식회사 헵스켐,국방과학연구소,음이온;중합;고분자;폴리우레탄;특수기능 맞춤형 고분자,Anionic;Polymerization;Polymer;polyurethane;Ordered Special Functional Polymer,"ㅇ 민수부분  - 음이온 중합법을 이용한 디블록 공중합체의 합성과 이를 이용한 장치 개발은 크게 3가지 요소 (불순물 제어, 부반응 제어, 재현성)를 고려하여 진행하였다. 불순물의 제거가 미흡하거나 중합 반응 중 불순물의 유입이 발생 또는 부반응이 발생할 시에는 중합체의 재현성과 요구 특성을 모두 충족시킬 수 없다. 더구나 불순물을 완벽하게 제거하는 것만을 목표로 할 경우 수율 저하가 생겨 정체성이 떨어진다. 이에 따라 본 연구에서는 단량체와 용매를 효과적이며 효율적으로 정제하는 장치를 연구 개발하였고 반응기 역시 외부의 오염인자 유입을 최소화하는 방안을 우선적으로 고려하여 설계 제작하였다. 또한 중합 반응 중 부반응을 억제시키기 위해 -78℃를 중합 조건으로 설정하고 이를 충족할 수 있는 중합 반응기에 설계 개발에 대한 연구를 진행 하였다. 중합반응 중 나타나는 발열 특성과 점도 변화 값을 모니터링 하여 중합 반응기 설계에 활용하였으며 DPHLi(Diphenylhexyllithium) 개시제 시스템을 도입하여 재현성을 확보 하였다. 반응기의 제작은 순차적으로 Batch type 1L, 3L, 5L 순으로 제작하고 이들로부터 나오는 중합 데이터를 기본으로 최종 20L 삼중 자켓 반응기와 Plug flow reactor type의 반연속 공정용 중합 반응기를 제작하였다.ㅇ 군수부분  - 고에너지를 함유한 2, 2-dinitropropyl acrylate(DNPA) 단량체와 3-azidopropyl acrylate(AzPA) 단량체를 저온 RAFT 리빙 라디칼 중합법을 이용하여 정밀 제어 공중합체를 합성하고, 공중합체 내에 존재하는 N3기와 양말단이 삼중결합으로 치환된 PEO(polyethylene oxide)와 azide-alkyne ""click"" 반응을 이용하여 polyacrylate 내에 PEO 블록을 도입하여 최종적으로 선형 구조를 가지는 고분자량 polyacrylate-block/graft-PEO 블록 공중합체를 합성하였다. 결합제의 전체 분자량은 100,000 g/mol 정도를 가지며, 여러 가지 블록 크기와 함량을 가지는 고분자량 둔감화 고에너지 결합제를 합성하였고, 복합화약 구성성분인 고에너지 가소제와의 상용성, 열적 분해 특성 및 화약 적용 가능성을 확인하였다.",Desings of Synthesis of Ordered Special Functional Polymer using a Living Anionic Polymerization,국방과학연구소
246,멀티홉 WiBro용 릴레이 통신시스템 연구개발,2010-12-14,2013-12-13,민군겸용기술개발,시험개발,한국전자통신연구원,국방과학연구소,와이브로;릴레이;기지국;이동통신망,Wibro;relay;station;mobile communication network,"ㅇ 다종홉 릴레이 통신 규격 개발ㅇ MR-BS, MRS 핵심기술 개발   - 프레임 운용구조 설계/구현 기술   - 가변 듀플랙싱 기술   - MAC 설계/구현 기술   - 이동성 지원 기술   - 2홉 이상 중계 기술   - 통달거리 지원을 위한 설계/구현 기술ㅇ 실험실 모델(MR-BS, MRS, 단말) 개발ㅇ 성능 분석/검증용 시뮬레이터 개발   - 기본 MMR SLS 시뮬레이션과 이를 바탕으로 군 운용 시나리오 분석   - SON 핵심 알고리즘 설계 및 성능 분석   - 협력통신 핵심 알고리즘 설계 및 성능분석ㅇ 시험실 모델 테스트베드 구축 및 기능/성능 검증",The Development of Multi-hop Wibro Communication Systems,국방과학연구소
247,디지털 동조 신호 발생기 개발,2004-10-01,2006-10-31,민군겸용기술개발,응용연구,알에프코어(주),국방과학연구소,디지털;위상잡음;고해상도;스위칭,digital;switching,"ㅇ 응용연구 단계에서는 전기적 성능을 만족하는 디지털 동조 신호 발생기의 설계 및 제작이 목표이며 DTO 내부에 구성되는 핵심부품인 DA변환기, FM변조기, MMICVCO를 개발하고 온도보상 Algorithm 및 주파수 편차에 따른 보상 Algorithm의 기초 작업을 수행하는 것을 주요 연구개발 내용으로 하고 있다.",A Development on Digitally Tuned Oscillator,국방과학연구소
248,디지털 동조 신호 발생기 개발,2006-10-02,2008-10-31,민군겸용기술개발,시험개발,알에프코어(주),국방과학연구소,디지털;위상잡음;고해상도;스위칭,digital;switching,"ㅇ 시험개발 단계에서는 전기적 성능 만족하는 디지털 동조 신호 발생기를 환경 규격에 부합하는 성능을 나태내도록 하는 것이 목표이며 DTO 내부에 구성되는 부품인 VCO, 항온모듈을 개발하고 온도보상 Algoriym 및 주파수 편차에 따른 보상 Algorithm 의 작업을 수행하는 것을 주요 연구개발 내용으로 하고 있다.",A Development on Digitally Tuned Oscillator,국방과학연구소
249,최고가속도 3m/sec2급 2차원 트레드밀 타입 이동 인터페이스 개발,2014-06-24,2017-06-23,민군겸용기술개발,응용연구,한국전자통신연구원,국방과학연구소,"2차원 트레드밀, 이동인터페이스, 가상환경제어, 가상전투훈련, 센서 ","Development of Locomotion Interface based on Two-dimensional Treadmill with 3m/sec2 Class of Maximum Acceleration, sensor","고가감속 2차원 트레드밀 기반 이동 인터페이스 기술 개발(F-ODT 통합 제어기 개발, F-ODT 응용/시험 시제 제작, 성능 시험 및 검증), 상용 게임 엔진 기반 가상환경 제공 기술 개발(가상 현실 콘텐츠 개발, 사격 시뮬레이션 개발, 360도 고해상도 영상 시스템 구현), 이동 인터페이스 및 가상환경 제어를 위한 훈련자 모션 분석 기술 개발(자세인식/행동분석 기술 개발, 정밀 위치인식 기술 개발)",Development of Locomotion Interface based on Two-dimensional Treadmill with 3m/sec2 Class of Maximum Acceleration,국방과학연구소
250,실시간 L-V-C 연동을 위한 통신미들웨어 프레임워크 개발,2015-10-21,2017-12-31,민군겸용기술개발,시험개발,한국전자통신연구원,국방과학연구소,"LVC 체계 연동, 데이터 배포서비스, 라이브체계, 가상체계, 워게임 체계","LVC-system Interoperability, DDS, Live system, Virtual system, Constructive system",LVC간 운용 미들웨어 연동 기술 개발- LVC간 연동 게이트웨이 개발- LVC 통합 체계 모의 환경 적용 기술- LVC 통합 분산 시물레이션 핵심기술 개발- 다중 도메인 통합 라우터 핵심기술 개발,Development of Communication Middleware Framework for Real-Time L-V-C Interoperability,국방과학연구소
251,상호연동 모듈형 근력보조 엑소수트 기술개발,2019-06-28,2022-06-28,민군겸용기술개발,응용연구,한국로봇융합연구원,"산업통상자원부, 방위사업청","외골격 로봇, 모듈형 엑소 수트, 로봇 상호 연동 제어, 인체-로봇 시뮬레이터, 모션 학습","Exoskeleton, Modular Exo Suit, Control of Robot, Human-Robot Simulator, Motion Learning","○ 근력보조 엑소수트를 위한 고효율 경량 구동기, 최적화 기반 예측동역학 인체-로봇 시뮬레이션 기술, 그리고 임무별 또는 운영목적별 인체 모션 패턴학습 인공지능 기술을 개발한다.",Development of interworking Modular Exo-Suit Technology for Strength Support,국방과학연구소
252,이상체 정밀 탐지용 고감도 전/자기장 통합 모니터링 시스템 기술 개발,2016-06-29,2019-06-28,민군겸용기술개발,시험개발,한국지질자원연구원,국방과학연구소,"전기탐사, 다중 전극 자료획득 시스템, 실시간 탐지, 수중 이상체 탐지","DC resistivity method, Multi-electrode acquisition system, Real-time detection, Underwater object detection",· 본 연구 과제는 해저면에 설치된 고출력 송신기 및 고감도 전기장/자기장 센서 배열을 통해 수중 및 해저의 이상체로부터 발생되는 신호를 통합 계측하고 정밀 자료처리 분석을 통해 이상체 유무는 물론 탐지 추적까지 가능한 기술을 개발하는 것임· 본 기술은 군사 및 민간 분야에 대하여 공동으로 활용이 가능한 민군겸용 기술임,Development of integrated electrical/magnetic field monitoring system for precise detection of anomalous bodies in marine environment,국방과학연구소
253,초소형 Chip-Scale 원자시계 개발,2017-09-22,2020-03-21,민군겸용기술개발,시험개발,한국표준과학연구원,국방과학연구소,"초소형 원자시계, 결맞은밀포획분광, MEMS기술, 주파수발생기 ","Chip-Scale atomic clock, CPT, MEMS, frequency generator","본 과제에서는 MEMS 기술, 고집적 전자회로 및 마이크로파 발생 기술, CPT (결맞은 밀도포획) 분광 등의 기술을 이용하여 크기가 25 cm3 이하이고, AA 밧데리 동작이 가능한 125 mW 이하의 소모 전력을 가지면서 기존의 수정발진기에 비해 성능이 100 ~ 1000 배 우수한 초소형 Chip-Scale 원자시계를 개발하고자 한다. 상용 물리부 분석물리부 개선안 도출개선 물리부 제작제어 알고리즘 개선2차 시제 제작 및 평가3차 시제 제작 및 평가",Development of Korea Ultra-Miniature Atomic Clock,국방과학연구소
254,Entolimod 개량형 방사선 피폭 치료제 개발,2014-06-24,2019-06-23,민군겸용기술개발,응용연구,한국생산기술연구원,국방과학연구소,"방사선피폭치료제, 톨유사수용체, 작용제, 엔톨리모드","radiation countermeasure, Toll-like receptor, agonist, entolimod",재조합 TLR5 agonist(KMRC011) 제조 기술KMRC011 특성화 기술KMRC011 분석 기술KMRC011 안정화 기술설치류 및 영장류 방사선피폭 모델 및 유효성 평가 기술KMRC011 비임상 독성평가 기술자가투여키트 시제품 제작,Development of Biobetter of Entolimod as a Radiation Countermeasure,국방과학연구소
255,점호형 진공스위치(TVS)연구,2014-11-27,2018-05-26,민군겸용기술개발,해당없음,포항가속기연구소,국방과학연구소,"진공스위치, 점호형스위치,아크방전, 대전력스위치","Triggered Vacuum Switch, Arc discharge, High current switch","기초 연구는 CCD 카메라 실험, 주전극 및 트리거 전극의 재질과 구조 연구 진행하였으며,  Sealed-off TVS를 제작하고 성능 평가 실시",Development of Triggered Vacuum Switch,국방과학연구소
256,자기광포획장치를 위한 피라미드형 미러 개발,2014-11-26,2018-05-25,민군겸용기술개발,해당없음,한국교원대학교,국방과학연구소,자기광포획,Magneto-optical trap,"과제내용은 크게 세부분으로 나누어 볼 수 있다. 첫째는 피라미드형 미러 제작 및 성능평가 이다. 다양한 크기의 피라미드형 미러를 설계, 제작하고 성능 개선을 통해 최적화한다. 둘째는 광자기포획장치용 챔버 및 레이저 시스템 구성이다. 챔버에 구성된 외부 코일과 레이저 시스템을 통해 냉각원자를 생성한다. 세번째는 광자기 포획 최적화 및 냉각 원자빔 성능 평가이다. 원자빔은 종속도 및 속도분포성분 등의 성능개선을 거쳐 최적화한다.",Development of pyramial mirror for magneto optical trap,국방과학연구소
257,화학테러물질 감지 부착센서 개발,2016-06-29,2018-06-28,민군겸용기술개발,시험개발,㈜센서테크,국방과학연구소,부착 센서,tattoo sensor,"사용자의 헬멧, 헤드셋, 의복이나 피부 표면에 부착하여 주변 대기의 유해물질을 선택적으로 감지하여 사용자의 무선통신기기로 유해정도를 전송하여 사용자로 하여금 안전한 환경에서 작업이 가능하도록 하며, 이를 위해 위해 유연소자 기판위에 센서 및 통신모듈을 일체형된 부착형 센서를 개발하며, 외부환경에 영향을 받지 않도록 액체투과가 0%이며, 가스투과도는 60%이상인 스마트 쉴드를 개발하고자 하며, 선택적인 가스 탐지가 가능한 리셉터를 개발하고자 한다.",The development of tattoo sensor that detected chemical agents,국방과학연구소
258,SiC 섬유용 저산소함량 폴리카보실란합성 및 섬유 제조연구,2014-12-18,2016-12-17,민군겸용기술개발,해당없음,국방과학연구소,국방과학연구소,"SiC 섬유, 폴리카보실란, 저산소함량","SiC fiber, polycarbosilane, low oxygen content",o 고방사특성을 갖는 Oxygen free 폴리카보실란 합성기술o Oxygen free 폴리카보실란의 유무기 전환 공정 및 고온안정화 기술o 금속이 도핑된 초고온용 Oxygen free 폴리카보실란 합성기술o 금속이 도핑된 폴리카보실란의 고온 열분해 및 치밀화 기술o PCS전구체를 활용한 continuous as-spun사의 정밀 용융방사 원천 기술 개발o 용융방사를 이용한 최적의 PCS as-spun사의 제조 공정 기술 연구o PCS as-spun사의 방사 test 및 방사성 평가o 고성능 SiC 섬유 Pilot 규모 제조기술 연구 ,Study on the development of high quality polycarbosilane for SiC fiber fabrication,국방과학연구소
259,자율형 초동진압용 소화체계개발,2019-06-28,2022-06-27,민군겸용기술개발,시험개발,한국기계연구원,국방과학연구소,"화재진압, 인공지능, 손상통제, 센서","Fire suppression, Artificial Intelligence, Damage Control, Sensors","○ 화재탐지센서(적외선, 영상, 자외선, 열, 가스) 선정 및 구성, 분석 및 제어 장치 개발, 자율운용 및 원격제어(조이스틱) 가능 소화모니터 개발",Development of autonomous fire detection and suppression system,국방과학연구소
260,220mW급 UV-LED 및 화학/생물 작용제 제독/살균기 개발,2019-06-28,2022-09-27,민군겸용기술개발,응용연구,(주)에스엘바이오닉스,국방과학연구소,"자외선엘이디,제독,살균","UV-LED,Decontamination,Sterilizer","○ 220mW 급 UV-LED 를 개발및 시제품을 제작하여  화학/생물 작용제의 사용여부를 검증 하였으며, 바이러스와 균에 대한 효과 또한 검증 하였다.",Development of 220mW class UV-LED and  chemical/biological agent decontamination/sterilizer,국방과학연구소
261,활주로 제설장비의 무인화 기술 개발,2019-06-28,2022-12-27,민군겸용기술개발,시험개발,한국기계연구원,산업통상자원부,"제설무인화, 자율주행, 자율작업","unmanned snowplow equipments,  autonomous driving, autonomous work","○ 전자제어 개조 기술, 극한환경 인식용 센서보정기술, 센서정보융합 기반 자율주행기술, 4km 원격운용기술, 군집운용 및 원격통제기술의 개발을 완료",Development of unmanned technology for snowplow equipments on runway,한국기계연구원
262,능동위상배열 시스템용 타일구조 SoC/SIP 기반 디지털 송수신기 개발,2019-06-28,2022-06-27,민군겸용기술개발,응용연구,알에프코어주식회사,국방과학연구소,"능동위상배열, 타일형 송수신모듈, 디지털송수신기, 시스템반도체","AESA, Tile type TRM, Digital Tranceiver, SoC","본 과제의 최종목표는 레이다, 탐색기, 5G 등과 같은 능동위상배열 구조 시스템용 디지털 송수신기 집적화 설계기술로 기존의 브릭형 송수신모듈과 비교하여 소형화, 경량화가 가능한 타일형 적층구조로 임베디드 S/W로직 및 디지털 SoC/SIP를 기반으로 집적화된 디지털 송수신기를 개발하는 것임",Development of Digital Transmitter/Receiver based on Tile-type SoC and SIP for Active Phased Array System,국방과학연구소
263,PUF 기반 보안을 지원하는 다중 드론 임무 가변형 FANET 통신모듈 개발,2019-10-18,2022-10-17,민군겸용기술개발,시험개발,오소트론 주식회사,국방과학연구소,"소형 무인기, 애드혹 네트워크, 물리적 복제방지","FANET, PUF, Drone","FANET 통신에 특화된 모뎀 SoC를 개발하고, 개발된 SoC 및 PUF (Physical Unclonable Function)기반 HW 보안을 지원하는 RF 보드, Baseband 보드가 포함된 드론에 장착하여 운용할 수 있는 통신모듈을 제작하고 다양한 임무에 활용 가능한 다중 드론 임무가변형 FANET 통신기술을 개발",Development of multi-drones mission variable FANET communication module supporting PUF-based security,국방과학연구소
264,실리콘 복합소재 면상발열체 기반 승조원 고 신뢰성 구명조끼 개발,2019-11-29,2023-02-28,민군겸용기술개발,시험개발,한국전자통신연구원,방위사업청,"구명조끼, 면상발열체, 위치발신통신모듈, 위치추적관제시스템, 배터리팩통합제어모듈 ","Life-jacket, Planar heater, Location outgoing communication system, Location tracking control system, Battery pack integrated control sysetm",○ 실리콘 복합소재 기반 면상 발열체 기술○ 위치 추적 통신 및 발열체 제어 모듈 기술○ 구명조끼 안전성 및 요소 모듈 통합기술○ 위치 발신 관제/통신 시스템 구현 기술,Development of High Reliable Life Jacket for the Crew based on Silicon Composite Sheet Heater,국방과학연구소
265,비행체 저가화 및 성능향상을 위한 대형(800mm급) 및 정밀(±15μm/200mm급) 금속 3D 프린팅 기술 및 제조 공정 개발,2019-12-23,2022-12-22,민군겸용기술개발,응용연구,(주)대건테크,국방과학연구소,"비행체, 부품경량화, 하이브리드 PBF, 3D 프린팅 기술","a flying body, lightening of parts, Hybrid PBF, 3D Printing Technology","○ 고정밀 하이브리드 전용 캠(CAM) 개발,50,000 rpm의 고속 주축 milling, 고속 프린팅을 위한 프린팅 공정기술 개발, 실시간 공정 감시기술 - 전용SW: 3차원 모델을 입력, 공정계획 작성○ 대형 부품의 제작이 가능한 프린터 장비 및 공정기술 개발 - 전용SW: 3차원 모델을 입력, 공정계획 작성",,국방과학연구소
266,생물입자 전기식 수집/농축장치 개발,2019-05-29,2021-05-28,민군기술적용연구사업,해당없음,한소주식회사,방위사업청,"생물입자, 바이러스, 수집, 농축, 화생방, 생물무기, 생물입자, 에어로졸, 공기수집장치","Bio-particles, Virus, Collection, Concentration, CBRN, Biological weapons, Bio-particles, Bioaerosol, Air sampler","○ 공기 중 생물입자를 전기적으로 끌어당겨 적은 양의 액체에 높은 농도로 농축 시키는 원리로, 공기 중 1㎛ 미만의 바이러스 및 박테리아와 같은  생물입자를 효과적으로 수집하고 농축하는 장치를 개발.",Development of Electrical Collection and Concentration Device for Bio-particles,국방과학연구소
267,EOTS용 1W급 로터리타입 극저온 냉각기 개발,2018-06-25,2021-12-24,민군겸용기술개발,시험개발,(주)에프에스,국방과학연구소,"회전형, 스털링, 극저온 냉각기, 적외선, 검출기","Rotary, Stirling, Cryocooler, Infrared, Detector","본 연구는 로터리타입 극저온 냉각기 냉각능력 1W급을 구현하고, 적용목적에 따라 정찰기, 헬기등 항공기용 EOTS 및 우주탐사용 열상장비에 사용하는 Mega Pixel급 고성능 적외선 검출기를 냉각하는 1W급 냉각기를 개발함과 동시에 의료기기에도 사용이 가능한 냉각기 개발을 목표로 하며, 핵심부품 가공 기술 개발을 통한 무급유 헬륨압축 기구, 냉각온도를 정밀제어하는 BLDC 모터 및 제어회로보드 개발을 주요 내용으로 함",Development of the 1W Rotary integral Stirling Cryocooler for EOTS,국방과학연구소
268,3차원 형상 광투과성 후막 다이아몬드 개발,2006-01-01,2008-12-31,민군겸용기술개발,응용연구,중소기업진흥공단,국방과학연구소,3차원 형상;광투과성;후막 다이아몬드;다이아몬드 합성;플라즈마 시뮬레이션,thick-film diamond;plasma simulation;diamond film;IR transmittivity,"ㅇ 3차원 형상의 광투과성 후막 다이아몬드를 개발하기 위해 다음과 같은 순서로 연구 활동이 진행되었다. 먼저 반응실 및 CVD 장치 개발에 앞서 최적의 플라즈마를 발생시킬 수 있도록 하기 위해 플라즈마 해석이 진행되었다. 플라즈마 해석 결과에 따라 개략적인 장치의 레이아웃이 정해지고 다이아몬드 합성 장치를 위한 구체적인 설계와 시스템 제작이 이루어졌다. 제작된 장치를 이용하며 플라즈마의 발생 유무, 균일성 및 안정성 등을 테스트하였으며 CVD 다이아몬드 합성을 위해 다양한 조건에서 수많은 실험을 행하였다. 또한 3차원 형상의 다이아몬드를 합성하기 위해서 공정변수뿐만 아니라 여러 가지 형태의 3차원 지그를 개발하여 다이아몬드가 합성될 수 있도록 하였다. 합성된 다이아몬드는 표면 연마 및 비반사코팅을 하여 적외선 투과율 향상시켰다.",Development of 3-dimensional optical diamond window,국방과학연구소
269,다이오드레이저 여기 Eyesafe Micro-chip 고체 레이저 개발 ,2005-08-01,2007-07-31,민군겸용기술개발,시험개발,(사)고등기술연구원,국방과학연구소,초소형;초경량;저전력;소모형;마이크로칩 레이저,compact;light-weight;low power consuming;microchip lasers,ㅇ 1차년도   - 문헌조사 및 자료수집   - 이론적 해석 및 모델링   - 레이저 결정 성장   - 광학적 특성 평가 및 분석ㅇ 2차년도   - 첨가농도 최적화   - 광학계 설계   - 박막 증착   - 공진기 조립ㅇ 3차년도   - 펄스모드 발진(1.0㎛)   - 연속출력 성능개선(1.0㎛)   - 1.5㎛ 레이저 조립 및 시험   - 500mW급 시제품 제작ㅇ 4차년도   - 출력 안정화   - 전달 광학계 설계 및 제작   - 광학 접합 결정 제작   - 패키징 설계ㅇ 최종년도   - 칩 패키징   - 성능 및 환경 시험   - 보고서 제작,Development of LD pumped Solid-State Eyesafe Micro-chip Laser,국방과학연구소
270,실시간 원거리 화학탐지용 소형 분광센서 개발,2005-12-01,2008-06-30,민군겸용기술개발,시험개발,두산인프라코아(주),국방과학연구소,적외선;분광기술;화학탐지;고속스캔,infrared;FTIR;chemical warfare agent detection;rapid-scan,,Development of a Light-weight Small Chemical Sensor for Stand-off Detection,국방과학연구소
271,무인기 자동이착륙을 위한 영상감지 탑재시스템 개발,2009-01-01,2011-12-31,민군겸용기술개발,응용연구,LIG넥스원(주),국방과학연구소,무인기;자동이착륙;영상처리,unmanned aerial vehicles;automatic take-off & landing;image processing,"ㅇ 본 연구에서는 영상정보를 이용한 고정익/회전익 무인기의 자동 이착륙 기술을 개발하는 것을 최종목표로 하고 있다. 본 연구의 핵심 기술은 ""실시간 영상처리를 통한 활주로 및 헬리패드 등의 착륙목표 물 추적"" 및 ""추적된 착륙목표지점에 대한 위치정보를 제공하는 알고 리즘"" 이다. 이 외에 핵심기술에 대한 시험평가를 위하여 ""목표한 착 륙위치로의 무인기 제어경로 계획 기술"" 및 ""영상처리에 적합한 고성 능 하드웨어 설계기술""을 병행하여 개발한다. 개발된 성과물은 고정익 /회전익 무인기 체계에 통합되어 성능확인을 수행하고, 최종 성능확 인은 PILS 시험과 지상시험, 비행시험의 수행을 통해 실시하고 해당 기술의 정확한 스펙을 결정하여 목표한 성능을 달성하였는지 판단한다.",Automatic Landing System Using a Image Sensor,국방과학연구소
272,마이크로 플루이딕스 칩과 소형광측정기를 이용한 독성물질 검출기술 개발,2006-12-04,2008-11-28,민군겸용기술개발,응용연구,(주)에스디,국방과학연구소,마이크로플루이딕스;말라리아;열성질환,protein;microfluidic;febrile disease;malarias,"ㅇ 말라리아 특이항체, 열성질환 특이항원을 생산하고 이를 이용한 형광 접합체를 제조하고 마이크로플루이딕스 타입의 디바이스 디지인 및 금형을 제작한다. 금형을  통해 생산된 디바이스의 표면처리 및 융착기술을 확보하여 마이크로플루이딕스 타입의 디바이스를 제조한다. 또한 디바이스로부터 발생된 신호를 반 정량적으로 측정할 수 있는 Prototype의 형광판독기를 개발한다.",,국방과학연구소
273,마이크로 플루이딕스 칩과 소형광측정기를 이용한 독성물질 검출기술 개발,2008-12-01,2010-12-31,민군겸용기술개발,시험개발,(주)에스디,국방과학연구소,마이크로플루이딕스;말라리아;열성질환,protein;microfluidic;febrile disease;malarias,"ㅇ 말라리아 특이항체, 열성질환 특이항원을 생산하고 이를 이용한 형광 접합체를 제조하고 마이크로플루이딕스 타입의 디바이스 디자인 및 금형을 제작한다. 금형을 통해 생산된 디바이스의 표면처리 및 융착기술을 확보하여 마이크로플루이딕스 타입의 디바이스를 제조한다. 또한 디바이스로부터 발생된 신호를 반 정량적으로 측정할 수 있는 Prototype의 형광판독기를 개발한다.",,국방과학연구소
274,무인기 자동이착륙을 위한 영상감지 탑재시스템 개발,2011-12-15,2013-12-14,민군겸용기술개발,시험개발,LIG넥스원(주),국방과학연구소,무인기;자동이착륙;영상처리,unmanned aerial vehicles;automatic take-off & landing;image processing,"ㅇ 본 연구에서는 영상정보를 이용한 고정익/회전의 무인기의 자동이착륙 기술을 개발하는 것을 최종목표로 하고 있다. 본 연구의 핵심기술은 ""실시간 영상처리를 통한 활주로 및 헬리패드 등의 착륙목표물 추적"" 및 ""추적된 착륙목표지점에 대한 위치정보를 제공하는 할고리즘"" 이다. 이 외에 핵심기술에 대한 시험평가를 위하여 ""목표한 착륙위치로의 무인기 제어경로 계획 기술"" 및 ""영상처리에 적합한 고성능 하드웨어 설계기술""을 병행하여 개발한다. 개발된 성과물은 고정익/회전익 무인기 체계에 통합되어 성능확인을 수행하고, 최종 성능확인은 PILS 시험과 지상시험, 비행시험의 수행을 통해 실시하고 해당기술의 정확한 스펙을 결정하여 목표한 성능을 달성하였는지 판단한다.",,국방과학연구소
275,방진 내충격 능동 하이브리드 마운트 시스템개발,2007-11-01,2010-12-26,민군겸용기술개발,시험개발,한국기계연구원,국방과학연구소,진동;충격;고무마운트;압전작동기;하이브리드 마운트,vibration;shock;rubber mount;piezostack actuator;hybird mount,"ㅇ 시험개발연구단계인 2단계의 연구개발 내용은 방진/내충격 성능을 갖는 500 kg 급 능동 하이브리드 마운트 시스템의 개발이다. 이를 위하여 수동 요소(고무 요소) 와 능동 요소(전자기식 및 압전식 작동기)의 결합 개념 및 형상설계, 각 요소의 설계 기법 및 수학적 모델링을 통한 해석 기법 정립, 시험을 통한 해석 및 설계기법 의 검증, 능동요소를 위한 제어기 설계, 시험용 마운트 제작 및 성능시험 평가 등을 내용으로 하고 있다.",Development of hybrid mount system for shock and vibration control,국방과학연구소
276,무예열 고강도 용접재료 개발,2005-11-01,2008-10-31,민군겸용기술개발,응용연구,한국생산기술연구원,국방과학연구소,무예열;고강도;용접재료,preheat-free;high-strength;welding consumable,"ㅇ 고강도강 용접에 가장 많이 사용되는 용접기법은 GMAW, SAW, FCAW이다. 그럼으로 본 사업에서는 이들 용접기법에 적용되는 고강도 무예열 용접재료를 개발하는 것이며, 개발된 용접재료는 인장강도가 800 MPa 이상이며, 충격인성은 -51℃에서 50 J 이상이어야 하며, 무예열 용접이 가능하여야 하는 것이다. 그리고 개발된 재료를 군수용으로 적용하기 위하여 군수용 사용적합성을 평가하는 것이다.",,국방과학연구소
